annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million;
25023;VENDREDI;21/03/2025;6;19/06/2025;9;17;18;21;50;12;5;-9-17-18-21-50-;-5-12-;0;0;0;1;4;330212,80;5;17;18159,10;18;72;1335,40;392;1407;125,80;803;2983;62,70;913;3328;39,50;11191;41905;15,60;18582;69007;10,60;45023;161655;8,40;57935;214175;7,70;264214;977456;5,30;649044;2319001;3,60;0;0;8;790,90;196;17,90;382;9,20;5340;1,60;8524;2,70;27933;3,90;43278;11,80;122096;2,30;944454;2,70;LI 392 0967;;
25022;MARDI;18/03/2025;5;16/06/2025;46;9;35;4;50;8;11;-4-9-35-46-50-;-8-11-;0;0;0;0;3;332090,30;0;6;38807,40;9;33;2197,70;205;848;157,50;443;1879;75,10;389;1793;55,30;6844;28656;17,30;9377;39406;14,00;21968;91297;11,20;39447;160779;7,70;152825;620751;6,30;370686;1447963;4,30;0;0;4;1138,10;102;24,70;217;11,60;3343;1,80;4459;3,80;18955;4,20;32673;11,30;72159;2,80;736962;2,40;ET 758 3936;;
25021;VENDREDI;14/03/2025;4;12/06/2025;8;33;49;35;10;2;9;-8-10-33-35-49-;-2-9-;0;0;0;2;3;387524,60;2;8;33964,00;11;55;1538,70;257;1126;138,40;645;2642;62,30;621;2540;45,50;10559;41736;13,80;12934;52637;12,20;28353;114586;10,40;59201;232010;6,20;203369;806481;5,60;447185;1755386;4,20;0;0;8;653,90;133;21,80;283;10,20;4724;1,50;6113;3,10;27173;3,30;45994;9,20;94187;2,50;878881;2,40;RO 531 0083;;
25020;MARDI;11/03/2025;3;09/06/2025;36;37;42;47;13;11;7;-13-36-37-42-47-;-7-11-;0;0;0;1;3;302199,80;4;10;21188,70;5;37;1783,70;191;800;151,90;496;2056;62,50;376;1679;53,70;7165;30755;14,60;9028;39147;12,80;19083;82665;11,30;39888;167267;6,70;142894;596277;6,00;301940;1269940;4,50;0;0;3;1303,00;95;22,80;219;9,90;3239;1,60;4077;3,50;18596;3,60;32282;9,80;66164;2,70;675483;2,30;HT 340 0230;;
25019;VENDREDI;07/03/2025;2;05/06/2025;32;6;48;27;10;8;3;-6-10-27-32-48-;-3-8-;0;0;0;2;3;429799,40;3;12;25112,80;26;89;1054,60;418;1507;114,70;983;3784;48,30;874;3081;41,60;14093;53706;11,90;17544;64892;11,00;36382;136202;9,70;74527;286792;5,60;258524;946610;5,30;539716;1986190;4,10;1;3437,90;7;392,90;195;17,60;397;8,60;6320;1,30;8137;2,80;34077;3,10;57595;8,70;120236;2,30;1047190;2,30;NC 896 8360;;
25018;MARDI;04/03/2025;1;02/06/2025;29;42;15;20;35;9;2;-15-20-29-35-42-;-2-9-;0;0;0;2;7;68564,80;1;5;22434,60;6;28;1247,80;106;530;121,40;267;1221;55,70;223;1141;41,90;3909;18059;13,20;4771;22979;11,60;10188;48863;10,10;20874;96708;6,20;73372;344094;5,50;153613;724716;4,20;1;1060,20;3;282,70;48;22,00;136;7,70;1877;1,40;2383;2,90;9962;3,30;16646;9,20;35751;2,40;326024;2,30;HB 180 2007;;
25017;VENDREDI;28/02/2025;4;29/05/2025;43;31;46;16;7;9;5;-7-16-31-43-46-;-5-9-;0;1;52448674,00;0;2;353112,60;0;8;20632,00;4;35;1468,80;162;702;134,90;372;1975;50,60;283;1485;47,30;5656;29005;12,10;6731;33630;11,60;14114;69321;10,50;31772;161746;5,40;102444;490638;5,60;215501;1023433;4,30;0;0;0;0;80;52,00;165;9,00;2565;1,40;3219;3,00;14543;3,20;25403;8,50;48593;2,50;453565;2,30;RD 782 8358;;
25016;MARDI;25/02/2025;3;26/05/2025;23;24;44;17;22;11;6;-17-22-23-24-44-;-6-11-;0;0;0;1;3;167896,00;1;6;19620,00;5;22;1666,60;126;544;124,10;243;1169;61,00;260;1374;36,50;3660;17726;14,10;5632;27761;10,00;13903;69403;7,50;18035;88397;7,10;76685;373133;5,30;193603;929020;3,40;1;1034,70;2;413,80;68;15,20;123;8,40;1785;1,40;2636;2,60;9025;3,60;13102;11,50;36884;2,30;273443;2,70;GT 442 6106;;
25015;VENDREDI;21/02/2025;2;22/05/2025;1;43;3;20;11;11;2;-1-3-11-20-43-;-2-11-;0;0;0;0;3;213502,40;4;10;14969,70;9;32;1457,00;159;745;115,20;367;1584;57,30;391;1752;36,40;4683;21878;14,50;7647;33261;10,60;18450;77813;8,50;23967;113178;7,00;101233;461955;5,40;247414;1088811;3,70;0;0;6;409,70;66;20,60;173;7,80;2257;1,50;3546;2,50;11818;3,60;18456;10,80;48572;2,30;369476;2,60;AC 559 3492;;
25014;MARDI;18/02/2025;1;19/05/2025;26;40;5;25;14;5;7;-5-14-25-26-40-;-5-7-;0;0;0;1;1;469895,30;0;4;27455,50;7;38;900,10;118;596;105,70;432;2036;32,70;224;1171;39,90;6243;28069;8,30;5826;27683;9,40;10513;50884;9,50;29894;133047;4,40;82964;392145;4,70;148346;720876;4,10;0;0;1;1801,00;63;15,80;211;4,70;2862;,80;2716;2,40;13338;2,30;19866;7,30;39096;2,10;314532;2,30;IW 657 0898;;
25013;VENDREDI;14/02/2025;6;15/05/2025;38;14;36;31;4;10;3;-4-14-31-36-38-;-3-10-;0;1;78450739,00;1;2;442087,50;0;5;41329,20;12;45;1430,30;130;770;153,90;322;1735;72,20;278;1803;48,80;5428;28237;15,50;6444;36861;13,30;15140;84809;10,70;31325;158678;6,90;105904;572136;6,00;247653;1322764;4,20;1;1720,00;6;229,30;70;24,50;140;12,20;2619;1,60;3241;3,50;15265;3,50;26628;9,40;51943;2,70;512859;2,40;QN 143 4928;;
25012;MARDI;11/02/2025;5;12/05/2025;21;3;46;36;41;6;1;-3-21-36-41-46-;-1-6-;0;0;0;1;5;113658,30;2;4;33204,70;4;30;1378,90;100;519;146,80;195;1056;76,20;198;1087;52,00;3222;16549;17,10;4129;21756;14,50;9343;51207;11,40;19600;94596;7,50;67784;343915;6,50;153996;805259;4,40;1;1176,30;2;470,50;53;22,10;97;12,10;1497;1,90;2022;3,80;9257;4,00;17228;9,90;32730;2,90;356426;2,30;MT 990 8988;;
25011;VENDREDI;07/02/2025;4;08/05/2025;10;24;45;29;23;8;10;-10-23-24-29-45-;-8-10-;0;0;0;0;0;0;0;6;146483,20;8;48;1080,40;150;673;141,90;342;1634;61,80;342;1570;45,20;5109;22992;15,40;7629;35090;11,20;17560;81279;9,00;25489;115925;7,60;110924;508548;5,50;264731;1199016;3,70;0;0;2;1374,00;63;24,20;162;9,40;2554;1,40;3673;2,70;12872;3,70;18662;11,90;53461;2,30;412347;2,60;BT 538 9173;;
25010;MARDI;04/02/2025;3;05/05/2025;29;43;3;39;4;5;10;-3-4-29-39-43-;-5-10-;0;0;0;0;0;0;0;1;643777,50;6;24;1582,70;89;463;151,10;208;1003;73,70;185;966;53,80;3250;16585;15,60;3983;21383;13,50;9987;49792;10,80;18217;91488;7,10;68671;341234;6,00;164677;792657;4,10;0;0;3;663,00;45;24,50;96;11,50;1618;1,70;2054;3,60;8834;3,90;15429;10,40;33345;2,70;316812;2,50;LY 186 2372;;
25009;VENDREDI;31/01/2025;2;01/05/2025;30;41;49;44;22;7;2;-22-30-41-44-49-;-2-7-;0;0;0;0;1;662510,10;1;3;51613,10;6;28;1722,40;114;529;167,90;364;1514;62,00;225;1165;56,60;6004;25940;12,70;5569;26701;13,70;11462;57187;11,90;38036;154092;5,30;92082;430353;6,00;182640;892502;4,70;0;0;3;864,40;57;25,20;160;9,00;2814;1,20;2725;3,50;17115;2,60;33001;6,30;44586;2,60;483980;2,10;CV 402 0872;;
25008;MARDI;28/01/2025;1;28/04/2025;42;41;37;49;9;9;1;-9-37-41-42-49-;-1-9-;0;0;0;0;1;474163,90;0;1;110819,90;5;20;1725,80;68;334;190,30;189;964;69,70;155;783;60,30;3026;14770;15,90;3400;17824;14,70;7796;40350;12,10;18403;85554;6,90;56553;282713;6,60;127010;631428;4,70;0;0;2;911,30;37;27,30;99;10,20;1421;1,70;1715;3,90;8725;3,60;15230;9,70;28203;2,90;300191;2,40;BE 304 1672;;
25007;VENDREDI;24/01/2025;8;24/04/2025;30;2;19;49;11;3;8;-2-11-19-30-49-;-3-8-;0;1;99397573,00;2;9;92865,40;5;14;13952,60;10;64;950,60;323;1193;93,90;586;2564;46,20;560;2385;34,90;7962;37569;11,00;10765;46224;10,00;22536;97848;8,80;40172;191091;5,40;144174;641405;5,10;296950;1351272;3,90;0;0;4;773,40;138;12,40;260;6,60;3425;1,20;4815;2,30;17756;3,00;28269;8,80;65568;2,10;516928;2,40;PK 962 2825;;
25006;MARDI;21/01/2025;7;21/04/2025;8;6;14;27;41;5;4;-6-8-14-27-41-;-4-5-;0;0;0;2;5;121051,80;1;6;23576,50;7;35;1258,80;204;837;96,90;346;1514;56,60;398;1748;34,40;4368;21547;13,90;7261;35112;9,50;15503;71448;8,70;22380;110536;6,80;99051;482098;4,90;204046;974545;3,90;1;1210,20;3;322,70;95;12,70;163;7,40;2058;1,40;3348;2,40;10475;3,60;16108;10,90;45532;2,10;356098;2,40;KV 091 2370;;
25005;VENDREDI;17/01/2025;6;17/04/2025;24;42;15;35;8;8;6;-8-15-24-35-42-;-6-8-;0;0;0;2;9;85022,70;0;13;13756,90;13;64;870,30;255;1052;97,50;519;2312;46,90;406;2032;37,50;7052;31713;12,00;8980;42987;9,80;17160;84911;9,30;34781;156737;6,10;121067;576078;5,20;242853;1192259;4,00;0;0;6;468,10;109;14,30;239;6,50;3236;1,20;4153;2,50;16145;3,00;24923;9,10;56230;2,20;461750;2,40;VA 724 9628;;
25004;MARDI;14/01/2025;5;14/04/2025;41;48;29;20;18;5;9;-18-20-29-41-48-;-5-9-;0;0;0;1;6;95604,50;0;5;26813,20;2;19;2197,80;92;491;156,60;280;1512;53,70;223;1095;52,10;4387;23134;12,30;5052;25394;12,50;10617;52451;11,30;25287;131241;5,40;78923;391066;5,70;167122;811530;4,40;1;1186,10;2;474,40;44;26,90;127;9,30;2062;1,40;2375;3,30;11520;3,20;19924;8,60;37567;2,60;364877;2,30;PK 626 8865;;
25003;VENDREDI;10/01/2025;4;10/04/2025;36;37;27;42;12;7;6;-12-27-36-37-42-;-6-7-;0;0;0;2;4;179667,00;0;3;55988,10;8;31;1687,60;173;801;120,30;376;1720;59,20;268;1557;45,90;5390;24794;14,40;8257;37007;10,70;13994;69838;10,60;28883;131395;6,80;122042;539324;5,20;215753;1040834;4,30;1;1531,40;1;1225,10;81;18,90;166;9,20;2501;1,50;3833;2,60;13556;3,50;22598;9,80;56673;2,20;507078;2,10;QJ 602 0619;;
25002;MARDI;07/01/2025;3;07/04/2025;41;20;35;33;47;4;12;-20-33-35-41-47-;-4-12-;0;0;0;0;1;521898,30;1;5;24395,20;3;14;2713,70;84;412;169,80;167;924;80,00;218;1026;50,60;2606;13140;19,70;3851;19699;14,70;9645;48369;11,10;14737;71968;9,00;59649;293098;7,00;149467;731851;4,50;0;0;2;1042,40;36;32,10;99;11,60;1399;2,00;1981;3,90;7701;4,70;14201;11,90;30016;3,10;334441;2,50;HE 598 4252;;
25001;VENDREDI;03/01/2025;2;03/04/2025;19;35;37;3;29;1;9;-3-19-29-35-37-;-1-9-;0;0;0;1;2;316853,40;1;6;24684,60;4;29;1590,70;146;608;139,70;388;1591;56,40;322;1418;44,50;5148;22935;13,70;6516;29727;11,80;15093;68729;9,50;27255;119525;6,60;96072;439059;5,60;224141;1008934;3,90;1;1394,60;2;557,80;77;18,10;183;7,60;2373;1,40;3112;3,00;12597;3,40;20128;10,10;46017;2,50;398155;2,50;SI 059 9896;;
24105;MARDI;31/12/2024;1;31/03/2025;33;24;19;26;28;12;8;-19-24-26-28-33-;-8-12-;0;0;0;1;4;188075,10;0;11;15984,00;3;32;1711,40;125;782;129,00;266;1606;66,40;332;1961;38,20;3761;22223;16,80;6214;36088;11,50;16236;90132;8,60;19095;118600;7,90;91289;525874;5,60;238214;1309459;3,60;1;1376,50;2;550,60;54;25,40;159;8,60;2009;1,70;3067;3,00;10221;4,20;16206;12,40;45874;2,40;366456;2,70;OI 368 4788;;
24104;VENDREDI;27/12/2024;3;27/03/2025;45;33;12;27;22;4;8;-12-22-27-33-45-;-4-8-;0;1;41205363,00;1;5;129991,80;1;9;16878,40;10;60;788,50;185;854;102,00;491;2174;42,30;439;1923;33,60;6732;29649;10,90;8229;36455;9,90;18600;80975;8,30;33536;147394;5,50;114649;496697;5,10;253883;1098086;3,70;0;0;7;372,50;81;17,80;228;6,30;2969;1,20;3859;2,50;15260;2,90;23390;9,00;53013;2,20;412119;2,50;KK 662 2144;;
24103;MARDI;24/12/2024;2;24/03/2025;6;24;16;23;10;12;11;-6-10-16-23-24-;-11-12-;0;0;0;1;2;306780,30;3;16;8962,40;7;32;1395,70;182;763;107,80;247;1285;67,60;707;2663;22,90;3456;16824;18,10;6951;30239;11,20;24800;97631;6,50;16984;85694;8,90;91172;409663;5,90;295994;1235083;3,10;0;0;5;501,50;103;13,50;124;11,20;1779;1,90;3427;2,70;9047;4,80;14698;13,80;46207;2,40;341728;2,90;OC 384 9703;;
24102;VENDREDI;20/12/2024;1;20/03/2025;14;10;50;33;21;6;9;-10-14-21-33-50-;-6-9-;0;0;0;0;3;222689,40;2;8;19517,30;12;47;1034,70;158;792;113,10;423;1908;49,60;359;1797;37,00;5729;27621;12,00;7555;35050;10,50;16238;77174;8,90;30960;142307;5,80;109002;496007;5,30;236494;1095328;3,80;0;0;5;549,40;79;19,30;205;7,40;2756;1,30;3693;2,70;14862;3,20;24997;8,90;52653;2,30;457311;2,40;FP 855 3646;;
24101;MARDI;17/12/2024;6;17/03/2025;1;21;4;29;3;7;2;-1-3-4-21-29-;-2-7-;1;1;77557137,00;0;1;603073,30;1;8;17618,50;14;48;914,60;242;923;87,60;554;2094;40,80;431;1749;34,30;7662;30297;9,90;9579;39664;8,40;17216;75380;8,20;37796;152149;4,90;117001;505740;4,70;222671;1002365;3,80;0;0;7;336,70;103;12,70;261;5,00;3438;,90;4415;1,90;16971;2,40;26465;7,20;54578;1,90;397402;2,30;MH 801 5430;;
24100;VENDREDI;13/12/2024;5;13/03/2025;25;1;42;15;50;10;4;-1-15-25-42-50-;-4-10-;0;0;0;0;1;880351,00;5;9;22861,30;13;46;1393,10;202;805;146,60;492;1775;70,30;571;2226;39,30;7843;26101;16,70;10446;37914;12,80;25572;94973;9,50;43352;143323;7,60;157494;556232;6,20;383582;1372521;4,00;0;0;7;670,50;96;27,10;259;10,00;3968;1,60;5264;3,30;21559;3,80;37666;10,10;78548;2,70;746151;2,50;GS 852 9356;;
24099;MARDI;10/12/2024;4;10/03/2025;29;25;5;47;24;9;5;-5-24-25-29-47-;-5-9-;0;0;0;0;1;554372,40;1;3;43188,60;1;30;1345,20;134;596;124,70;398;1816;43,20;248;1118;49,30;5556;27028;10,20;6282;28922;10,60;12658;56637;10,10;28333;136199;5,00;96682;434741;5,00;194905;859369;4,10;0;0;0;0;65;54,00;183;6,80;2586;1,20;2981;2,80;13318;2,90;19349;9,40;46023;2,20;363805;2,50;ES 665 1000;;
24098;VENDREDI;06/12/2024;3;06/03/2025;25;39;47;14;44;6;10;-14-25-39-44-47-;-6-10-;0;0;0;0;0;0;3;11;78150,90;4;39;1300,60;138;608;153,60;235;1415;69,80;335;1479;46,90;4348;20745;16,70;6223;28649;13,50;14702;69227;10,40;24112;112234;7,70;95001;426665;6,40;222339;1025701;4,30;0;0;3;978,10;75;21,70;120;13,50;2247;1,80;3056;3,50;12330;4,10;22032;10,80;47695;2,80;482184;2,40;LT 636 0771;;
24097;MARDI;03/12/2024;2;03/03/2025;46;23;34;25;47;6;8;-23-25-34-46-47-;-6-8-;0;0;0;0;0;0;1;5;129039,70;3;21;1812,80;68;443;158,30;239;1158;64,00;186;967;53,80;3919;17740;14,60;4527;21694;13,30;9470;46965;11,50;22670;100698;6,50;70597;338553;6,00;153855;736296;4,50;0;0;1;2152,20;30;39,80;102;11,70;1911;1,50;2304;3,40;11053;3,40;20097;8,60;35157;2,80;374020;2,30;AE 196 0600;;
24096;VENDREDI;29/11/2024;1;27/02/2025;8;18;43;17;29;5;9;-8-17-18-29-43-;-5-9-;0;0;0;0;4;171105,20;0;6;26660,00;8;46;1083,10;189;936;98,00;479;2459;39,40;465;1883;36,20;6683;32798;10,30;8626;39040;9,70;19660;81499;8,60;33348;164667;5,20;121497;545804;4,90;261622;1123038;3,80;0;0;4;692,50;92;16,70;217;7,00;3090;1,20;4030;2,50;15531;3,10;24221;9,20;57853;2,10;445996;2,50;CJ 789 1845;;
