date,day_of_week,n1,n2,n3,n4,n5,s1,s2
2015-08-11,MARDI   ,2,16,3,15,8,4,11
2015-08-07,Friday,1,5,21,44,39,4,11
2015-08-04,MARDI   ,50,15,39,10,45,10,9
2015-07-31,Friday,34,21,16,50,40,6,9
2015-07-28,MARDI   ,36,23,49,43,32,8,7
2015-07-24,Friday,21,46,2,9,35,2,11
2015-07-21,MARDI   ,14,29,44,27,20,10,7
2015-07-17,Friday,21,48,22,1,43,9,7
2015-07-14,MARDI   ,34,18,36,19,6,1,8
2015-07-10,Friday,35,8,15,5,41,5,4
2015-07-07,MARDI   ,7,41,33,18,6,10,3
2015-07-03,Friday,11,18,44,15,12,3,9
2015-06-30,MARDI   ,11,28,15,34,37,1,8
2015-06-26,Friday,10,19,6,3,24,5,7
2015-06-23,MARDI   ,16,38,4,22,49,6,9
2015-06-19,Friday,7,14,20,31,42,9,3
2015-06-16,MARDI   ,15,10,36,16,37,3,9
2015-06-12,Friday,11,10,37,5,8,9,7
2015-06-09,MARDI   ,5,34,17,9,32,8,6
2015-06-05,Friday,8,7,2,48,45,9,1
2015-06-02,MARDI   ,23,7,41,29,37,1,8
2015-05-29,Friday,4,20,48,45,3,8,6
2015-05-26,MARDI   ,6,24,7,21,5,6,5
2015-05-22,Friday,18,44,35,24,45,5,11
2015-05-19,MARDI   ,35,37,31,26,30,11,8
2015-05-15,Friday,47,42,44,5,35,9,8
2015-05-12,MARDI   ,29,30,14,46,40,3,6
2015-05-08,Friday,14,19,49,7,47,10,3
2015-05-05,MARDI   ,1,17,10,42,20,9,8
2015-05-01,Friday,19,26,20,25,3,6,10
2015-04-28,MARDI   ,36,24,28,26,45,10,7
2015-04-24,Friday,31,5,40,29,19,3,10
2015-04-21,MARDI   ,14,42,17,6,45,8,1
2015-04-17,Friday,39,2,34,24,30,11,8
2015-04-14,MARDI   ,49,34,32,24,35,2,1
2015-04-10,Friday,25,43,22,23,30,5,9
2015-04-07,MARDI   ,39,25,50,44,18,8,5
2015-04-03,Friday,39,37,49,29,27,4,2
2015-03-31,MARDI   ,8,28,20,24,49,8,9
2015-03-27,Friday,30,39,32,44,2,10,6
2015-03-24,MARDI   ,40,10,39,24,26,3,10
2015-03-20,Friday,3,14,42,48,37,1,10
2015-03-17,MARDI   ,11,23,44,38,26,8,1
2015-03-13,Friday,4,5,22,18,23,3,1
2015-03-10,MARDI   ,31,30,2,6,23,10,2
2015-03-06,Friday,47,30,49,50,23,7,2
2015-03-03,MARDI   ,6,21,13,8,11,8,7
2015-02-27,Friday,17,25,14,5,47,10,9
2015-02-24,MARDI   ,3,28,25,34,50,1,11
2015-02-20,Friday,37,46,10,4,14,4,7
2015-02-17,MARDI   ,5,2,18,43,30,10,1
2015-02-13,Friday,24,12,39,44,42,3,11
2015-02-10,MARDI   ,30,45,20,13,17,9,10
2015-02-06,Friday,50,30,10,26,39,8,7
2015-02-03,MARDI   ,50,44,17,31,33,11,7
2015-01-30,Friday,9,24,15,13,19,3,8
2015-01-27,MARDI   ,10,33,5,31,40,10,8
2015-01-23,Friday,30,45,29,38,6,8,1
2015-01-20,MARDI   ,33,47,15,41,44,10,8
2015-01-16,Friday,34,32,29,30,46,6,3
2015-01-13,MARDI   ,34,31,21,8,17,10,9
2015-01-09,Friday,6,32,45,21,24,1,11
2015-01-06,MARDI   ,20,38,30,14,49,4,3
2015-01-02,Friday,24,25,49,28,22,3,6
2014-12-30,MARDI   ,6,18,39,50,44,11,8
2014-12-26,Friday,26,45,27,49,17,2,3
2014-12-23,MARDI   ,49,25,9,19,8,10,2
2014-12-19,Friday,39,44,23,29,31,5,8
2014-12-16,MARDI   ,13,7,3,25,12,5,8
2014-12-12,Friday,28,2,15,31,37,4,6
2014-12-09,MARDI   ,31,1,3,42,46,11,4
2014-12-05,Friday,5,8,48,47,37,3,2
2014-12-02,MARDI   ,15,25,3,49,44,9,1
2014-11-28,Friday,10,23,6,41,15,10,4
2014-11-25,MARDI   ,32,7,36,3,25,1,6
2014-11-21,Friday,28,32,7,37,4,5,10
2014-11-18,MARDI   ,3,2,36,38,17,11,4
2014-11-14,Friday,36,32,38,48,17,8,5
2014-11-11,MARDI   ,46,14,36,2,21,11,7
2014-11-07,Friday,32,13,38,46,25,10,1
2014-11-04,MARDI   ,1,13,6,26,17,3,5
2014-10-31,Friday,10,41,13,20,33,9,3
2014-10-28,MARDI   ,45,17,40,10,15,1,2
2014-10-24,Friday,42,20,3,30,9,6,1
2014-10-21,MARDI   ,40,33,27,20,21,3,10
2014-10-17,Friday,49,13,48,1,40,8,10
2014-10-14,MARDI   ,15,23,32,4,5,7,3
2014-10-10,Friday,29,42,47,45,6,9,10
2014-10-07,MARDI   ,38,30,21,9,28,8,1
2014-10-03,Friday,13,23,50,48,4,10,5
2014-09-30,MARDI   ,33,13,15,3,42,5,7
2014-09-26,Friday,46,35,47,13,27,1,2
2014-09-23,MARDI   ,13,35,14,29,12,1,7
2014-09-19,Friday,6,34,8,38,48,9,3
2014-09-16,MARDI   ,4,30,35,50,29,4,2
2014-09-12,Friday,31,9,33,26,13,7,11
2014-09-09,MARDI   ,15,35,19,8,24,10,8
2014-09-05,Friday,18,50,23,46,1,9,3
2014-09-02,MARDI   ,39,45,25,31,5,8,1
2014-08-29,Friday,32,38,26,9,2,3,6
2014-08-26,MARDI   ,36,48,45,10,22,11,4
2014-08-22,Friday,29,17,49,35,4,1,2
2014-08-19,MARDI   ,11,34,47,4,7,7,8
2014-08-15,Friday,4,21,30,5,23,10,8
2014-08-12,MARDI   ,22,19,7,16,33,5,2
2014-08-08,Friday,29,21,35,46,43,1,9
2014-08-05,MARDI   ,5,21,42,7,19,11,5
2014-08-01,Friday,50,44,46,48,24,10,5
2014-07-29,MARDI   ,40,23,35,10,43,9,3
2014-07-25,Friday,10,24,9,12,43,5,9
2014-07-22,MARDI   ,1,43,50,45,24,5,8
2014-07-18,Friday,1,41,43,11,29,3,11
2014-07-15,MARDI   ,18,27,15,34,20,1,3
2014-07-11,Friday,38,35,5,49,22,7,4
2014-07-08,MARDI   ,24,18,22,8,27,11,4
2014-07-04,Friday,47,18,43,39,4,6,2
2014-07-01,MARDI   ,39,25,18,22,27,5,10
2014-06-27,Friday,39,34,45,33,31,2,10
2014-06-24,MARDI   ,20,1,7,21,48,4,7
2014-06-20,Friday,5,38,49,15,25,1,2
2014-06-17,MARDI   ,48,13,37,40,11,8,9
2014-06-13,Friday,16,22,28,46,18,11,9
2014-06-10,MARDI   ,12,18,21,33,32,1,11
2014-06-06,Friday,34,40,25,7,49,9,11
2014-06-03,MARDI   ,2,39,32,15,44,5,10
2014-05-30,Friday,27,41,24,45,5,7,6
2014-05-27,MARDI   ,16,13,26,25,7,1,6
2014-05-23,Friday,31,3,47,8,34,11,9
2014-05-20,MARDI   ,38,5,36,33,47,4,9
2014-05-16,Friday,26,23,37,29,40,4,3
2014-05-13,MARDI   ,47,34,13,30,4,6,2
2014-05-09,Friday,45,28,3,26,21,10,7
2014-05-06,MARDI   ,37,5,19,31,24,9,1
2014-05-02,Friday,30,42,4,31,38,11,2
2014-04-29,MARDI   ,35,26,18,23,44,3,11
2014-04-25,Friday,13,49,44,21,24,9,1
2014-04-22,MARDI   ,20,46,15,24,13,8,1
2014-04-18,Friday,21,47,31,39,24,3,7
2014-04-15,MARDI   ,14,50,47,26,3,7,11
2014-04-11,Friday,8,33,30,12,19,4,11
2014-04-08,MARDI   ,42,11,29,18,49,11,4
2014-04-04,Friday,50,45,28,6,10,10,11
2014-04-01,MARDI   ,44,38,18,16,26,10,8
2014-03-28,Friday,3,43,19,28,4,3,7
2014-03-25,MARDI   ,28,50,26,7,20,8,2
2014-03-21,Friday,37,7,39,30,42,7,5
2014-03-18,MARDI   ,27,36,34,8,39,5,10
2014-03-14,Friday,30,24,6,27,25,9,5
2014-03-11,MARDI   ,1,4,44,33,23,8,7
2014-03-07,Friday,38,10,40,5,41,1,8
2014-03-04,MARDI   ,3,22,5,27,44,6,1
2014-02-28,Friday,38,44,32,12,43,2,7
2014-02-25,MARDI   ,42,21,25,28,35,6,4
2014-02-21,Friday,28,13,17,30,32,5,7
2014-02-18,MARDI   ,36,37,26,23,49,6,7
2014-02-14,Friday,19,39,4,2,6,2,7
2014-02-11,MARDI   ,47,25,8,17,41,1,2
2014-02-07,Friday,17,19,47,3,46,9,10
2014-02-04,MARDI   ,37,1,33,21,38,8,4
1970-01-01,Friday,28,16,20,22,11,4,9
1970-01-01,Friday,38,40,25,15,41,1,2
1970-01-01,Friday,22,45,48,11,36,1,4
1970-01-01,Friday,4,41,6,21,39,2,6
1970-01-01,Friday,21,47,23,38,50,6,2
1970-01-01,Friday,17,33,22,21,4,4,8
1970-01-01,Friday,12,21,6,33,27,7,3
1970-01-01,Friday,50,13,26,1,20,7,6
1970-01-01,Friday,17,24,37,19,46,2,7
1970-01-01,Friday,28,41,25,11,27,8,5
1970-01-01,Friday,42,45,13,48,12,3,9
1970-01-01,Friday,45,3,49,15,2,9,5
1970-01-01,Friday,15,14,12,19,23,7,8
1970-01-01,Friday,47,35,11,2,24,5,9
1970-01-01,Friday,41,24,23,42,13,5,1
1970-01-01,Friday,21,11,13,3,18,5,4
1970-01-01,Friday,44,2,24,14,39,7,6
1970-01-01,Friday,32,22,1,48,50,7,6
1970-01-01,Friday,2,24,43,38,34,1,7
1970-01-01,Friday,46,19,42,36,38,8,2
1970-01-01,Friday,3,35,29,42,20,3,8
1970-01-01,Friday,46,2,10,3,33,8,7
1970-01-01,Friday,28,32,46,8,19,4,7
1970-01-01,Friday,9,41,36,49,28,7,5
1970-01-01,Friday,36,12,15,45,32,9,7
1970-01-01,Friday,23,47,7,19,29,6,1
1970-01-01,Friday,21,23,33,50,40,5,4
1970-01-01,Friday,32,22,16,42,20,8,9
1970-01-01,Friday,39,5,11,9,4,3,5
1970-01-01,Friday,38,31,2,36,43,7,3
1970-01-01,Friday,46,35,39,30,9,6,8
1970-01-01,Friday,4,27,6,48,1,1,6
1970-01-01,Friday,1,16,48,4,40,1,9
1970-01-01,Friday,50,27,38,17,29,3,1
1970-01-01,Friday,35,41,21,45,17,5,1
1970-01-01,Friday,24,49,47,26,13,4,8
1970-01-01,Friday,13,6,30,1,49,1,9
1970-01-01,Friday,27,31,5,42,40,6,1
1970-01-01,Friday,15,9,47,21,4,7,2
1970-01-01,Friday,42,28,13,29,25,4,5
1970-01-01,Friday,39,11,3,4,28,8,2
1970-01-01,Friday,4,13,37,35,46,9,3
1970-01-01,Friday,49,46,45,39,38,7,8
1970-01-01,Friday,37,9,49,24,39,3,9
1970-01-01,Friday,46,41,36,13,12,8,1
1970-01-01,Friday,18,1,8,28,31,9,8
1970-01-01,Friday,2,29,31,38,32,4,1
1970-01-01,Friday,44,2,36,22,24,2,1
1970-01-01,Friday,34,42,17,40,4,9,4
1970-01-01,Friday,9,31,32,33,4,3,7
1970-01-01,Friday,38,19,50,7,30,4,7
1970-01-01,Friday,17,31,43,47,1,3,2
1970-01-01,Friday,15,21,6,3,32,7,9
1970-01-01,Friday,6,36,22,25,24,3,8
1970-01-01,Friday,46,3,7,8,43,6,8
1970-01-01,Friday,17,11,26,40,9,9,3
1970-01-01,Friday,44,23,24,21,7,3,4
1970-01-01,Friday,26,18,12,24,45,5,4
1970-01-01,Friday,18,37,8,16,43,2,6
1970-01-01,Friday,38,28,30,39,10,7,2
1970-01-01,Friday,46,1,26,36,33,7,6
1970-01-01,Friday,19,18,49,12,43,9,3
1970-01-01,Friday,42,11,29,7,18,7,6
1970-01-01,Friday,37,12,38,31,43,3,2
1970-01-01,Friday,5,45,1,38,18,6,4
1970-01-01,Friday,46,38,34,35,39,3,4
1970-01-01,Friday,39,43,30,17,9,7,5
1970-01-01,Friday,4,44,27,22,36,9,7
1970-01-01,Friday,49,50,26,29,11,4,7
1970-01-01,Friday,44,5,14,4,46,9,8
1970-01-01,Friday,22,24,27,36,9,7,5
1970-01-01,Friday,4,17,5,34,14,5,3
1970-01-01,Friday,49,30,35,32,14,8,3
1970-01-01,Friday,41,43,44,46,20,2,9
1970-01-01,Friday,25,30,19,18,44,3,1
1970-01-01,Friday,33,15,13,5,8,8,9
1970-01-01,Friday,47,9,28,5,43,2,9
1970-01-01,Friday,15,25,32,26,13,4,3
1970-01-01,Friday,19,43,45,34,11,5,9
1970-01-01,Friday,35,9,33,38,40,6,2
1970-01-01,Friday,20,6,18,29,31,8,2
1970-01-01,Friday,23,30,31,47,12,3,4
1970-01-01,Friday,29,11,46,7,50,4,7
1970-01-01,Friday,44,29,24,23,22,5,1
1970-01-01,Friday,6,21,18,17,34,9,3
1970-01-01,Friday,30,16,41,38,6,2,4
1970-01-01,Friday,42,15,12,35,43,6,4
1970-01-01,Friday,20,39,6,9,38,9,3
1970-01-01,Friday,37,41,49,36,8,7,5
1970-01-01,Friday,16,42,31,7,4,5,3
1970-01-01,Friday,30,5,8,49,24,9,3
1970-01-01,Friday,22,10,31,24,20,7,2
1970-01-01,Friday,26,9,20,21,5,6,3
1970-01-01,Friday,15,47,35,25,14,9,5
1970-01-01,Friday,17,50,8,2,32,3,7
1970-01-01,Friday,42,20,6,16,46,1,6
1970-01-01,Friday,29,47,46,34,21,6,8
1970-01-01,Friday,21,6,11,39,30,8,2
1970-01-01,Friday,20,17,16,4,29,7,5
1970-01-01,Friday,50,14,6,16,34,6,4
1970-01-01,Friday,35,19,40,26,11,2,5
1970-01-01,Friday,30,47,2,37,5,6,3
1970-01-01,Friday,43,4,14,33,13,6,1
1970-01-01,Friday,19,8,42,18,20,5,9
1970-01-01,Friday,4,29,23,31,24,9,8
1970-01-01,Friday,38,47,31,19,5,3,5
1970-01-01,Friday,21,4,24,14,41,5,8
1970-01-01,Friday,7,4,21,44,47,1,5
1970-01-01,Friday,37,14,9,46,16,2,4
1970-01-01,Friday,46,24,32,20,2,1,9
1970-01-01,Friday,25,42,36,33,38,6,7
1970-01-01,Friday,31,12,35,23,16,4,6
1970-01-01,Friday,36,42,26,12,24,1,4
1970-01-01,Friday,13,35,25,17,19,5,6
1970-01-01,Friday,9,44,5,37,45,9,6
1970-01-01,Friday,13,48,9,12,14,1,2
1970-01-01,Friday,33,36,40,22,42,1,2
1970-01-01,Friday,36,30,20,40,10,3,5
1970-01-01,Friday,4,34,35,46,29,5,8
1970-01-01,Friday,36,49,33,40,32,2,8
1970-01-01,Friday,50,22,17,3,49,3,6
1970-01-01,Friday,22,7,15,28,48,4,1
1970-01-01,Friday,48,30,29,37,36,1,6
1970-01-01,Friday,44,26,2,1,50,1,7
1970-01-01,Friday,29,50,46,28,40,5,7
1970-01-01,Friday,2,19,42,28,49,7,2
1970-01-01,Friday,35,8,21,45,4,5,8
1970-01-01,Friday,8,25,11,41,16,4,2
1970-01-01,Friday,50,49,21,9,14,8,3
1970-01-01,Friday,14,26,10,8,21,4,3
1970-01-01,Friday,9,1,17,12,18,3,4
1970-01-01,Friday,34,25,3,41,18,5,2
1970-01-01,Friday,45,7,15,16,17,6,9
1970-01-01,Friday,50,12,10,3,42,1,5
1970-01-01,Friday,15,31,22,4,41,6,1
1970-01-01,Friday,4,38,13,19,23,2,3
1970-01-01,Friday,31,29,33,14,37,2,1
1970-01-01,Friday,14,16,19,31,20,9,6
1970-01-01,Friday,23,33,37,19,50,7,3
1970-01-01,Friday,17,12,39,16,7,3,8
1970-01-01,Friday,2,20,37,25,39,8,5
1970-01-01,Friday,50,27,29,39,7,7,5
1970-01-01,Friday,18,11,17,26,31,6,5
1970-01-01,Friday,15,5,16,45,4,7,4
1970-01-01,Friday,25,40,22,50,1,1,8
1970-01-01,Friday,29,7,15,24,11,7,2
1970-01-01,Friday,16,14,44,10,29,6,5
1970-01-01,Friday,37,19,11,13,9,3,4
1970-01-01,Friday,19,22,48,7,27,7,5
1970-01-01,Friday,20,44,5,50,26,5,7
1970-01-01,Friday,11,8,36,37,45,3,5
1970-01-01,Friday,16,37,44,50,13,9,1
1970-01-01,Friday,21,40,19,50,7,2,9
1970-01-01,Friday,14,20,49,7,5,8,2
1970-01-01,Friday,5,38,9,19,21,1,7
1970-01-01,Friday,6,38,9,25,15,4,9
1970-01-01,Friday,8,9,42,40,45,7,6
1970-01-01,Friday,26,48,45,37,2,8,4
1970-01-01,Friday,4,30,26,19,27,8,3
1970-01-01,Friday,27,6,7,50,3,5,9
1970-01-01,Friday,50,30,25,45,6,5,7
1970-01-01,Friday,18,37,47,13,11,6,1
1970-01-01,Friday,39,9,29,5,17,3,6
1970-01-01,Friday,10,2,22,18,36,6,4
1970-01-01,Friday,13,48,35,21,25,4,8
1970-01-01,Friday,14,17,7,35,2,6,1
1970-01-01,Friday,37,47,49,40,12,9,2
1970-01-01,Friday,46,50,4,27,32,8,9
1970-01-01,Friday,27,45,12,29,46,7,4
1970-01-01,Friday,17,38,28,44,30,1,4
1970-01-01,Friday,30,49,45,47,22,4,9
1970-01-01,Friday,2,19,9,45,6,7,8
1970-01-01,Friday,46,40,16,14,23,8,4
1970-01-01,Friday,24,36,50,8,49,4,8
1970-01-01,Friday,41,24,10,12,25,3,5
1970-01-01,Friday,45,31,20,22,21,9,7
1970-01-01,Friday,37,7,44,28,9,7,6
1970-01-01,Friday,8,30,36,25,44,4,3
1970-01-01,Friday,48,43,4,2,32,1,7
1970-01-01,Friday,38,20,12,19,30,9,7
1970-01-01,Friday,22,2,48,29,10,9,3
1970-01-01,Friday,23,18,33,37,9,1,8
1970-01-01,Friday,14,25,36,5,22,6,5
1970-01-01,Friday,40,16,3,19,18,2,1
1970-01-01,Friday,20,7,38,40,43,8,1
1970-01-01,Friday,7,18,34,35,40,7,8
1970-01-01,Friday,36,47,21,32,46,3,4
1970-01-01,Friday,20,27,35,44,11,5,2
1970-01-01,Friday,22,34,44,30,35,4,5
1970-01-01,Friday,35,37,17,1,32,8,1
1970-01-01,Friday,33,29,5,9,11,7,9
1970-01-01,Friday,42,3,34,2,33,5,3
1970-01-01,Friday,22,37,23,18,6,6,5
1970-01-01,Friday,16,3,42,1,48,2,3
1970-01-01,Friday,2,13,42,3,38,7,8
1970-01-01,Friday,40,43,49,42,23,6,2
1970-01-01,Friday,41,33,37,30,10,1,8
1970-01-01,Friday,4,29,21,1,41,8,7
1970-01-01,Friday,50,26,10,21,25,9,4
1970-01-01,Friday,13,9,31,15,48,6,3
1970-01-01,Friday,39,41,4,19,5,9,8
1970-01-01,Friday,28,8,33,45,12,1,3
1970-01-01,Friday,22,17,16,11,34,5,6
1970-01-01,Friday,5,14,40,7,21,3,8
1970-01-01,Friday,15,17,25,45,1,8,2
1970-01-01,Friday,22,41,42,37,6,6,9
1970-01-01,Friday,49,26,50,29,25,8,7
1970-01-01,Friday,49,37,34,26,39,2,6
1970-01-01,Friday,12,26,49,7,29,6,2
1970-01-01,Friday,17,41,35,6,45,1,5
1970-01-01,Friday,44,18,7,36,27,1,2
1970-01-01,Friday,41,26,32,45,23,3,7
1970-01-01,Friday,20,41,38,7,25,3,7
1970-01-01,Friday,41,48,29,23,15,6,3
1970-01-01,Friday,19,9,46,17,41,1,8
1970-01-01,Friday,43,17,5,40,13,3,1
1970-01-01,Friday,45,4,31,49,14,9,4
1970-01-01,Friday,43,25,3,2,48,9,6
1970-01-01,Friday,3,16,48,34,38,8,5
1970-01-01,Friday,20,2,22,18,15,5,2
1970-01-01,Friday,19,39,20,50,8,6,9
1970-01-01,Friday,36,16,46,30,14,8,2
1970-01-01,Friday,36,14,27,23,30,1,6
1970-01-01,Friday,38,11,23,15,30,4,9
1970-01-01,Friday,27,5,13,33,42,4,2
1970-01-01,Friday,14,8,25,19,11,3,5
1970-01-01,Friday,17,45,36,29,19,6,5
1970-01-01,Friday,14,9,6,13,35,3,4
1970-01-01,Friday,20,11,43,9,38,2,3
1970-01-01,Friday,35,37,9,42,23,3,7
1970-01-01,Friday,47,36,17,16,18,1,2
1970-01-01,Friday,16,37,8,41,4,2,5
1970-01-01,Friday,8,5,40,25,17,5,1
1970-01-01,Friday,36,12,33,22,32,2,6
1970-01-01,Friday,36,30,14,27,21,2,3
1970-01-01,Friday,13,11,44,24,49,9,3
1970-01-01,Friday,3,50,44,4,8,8,7
1970-01-01,Friday,10,34,47,19,45,6,3
1970-01-01,Friday,2,32,38,41,25,5,3
1970-01-01,Friday,5,35,11,22,38,7,8
1970-01-01,Friday,1,3,24,6,18,5,8
1970-01-01,Friday,30,45,49,29,10,8,3
1970-01-01,Friday,10,49,26,6,16,7,9
1970-01-01,Friday,12,10,32,33,1,8,1
1970-01-01,Friday,25,50,7,45,3,9,6
1970-01-01,Friday,47,10,28,48,40,8,6
1970-01-01,Friday,37,40,50,12,39,1,2
1970-01-01,Friday,47,31,46,28,27,5,2
1970-01-01,Friday,26,15,32,14,1,7,3
1970-01-01,Friday,3,43,29,8,12,6,7
1970-01-01,Friday,50,4,38,2,9,8,6
1970-01-01,Friday,1,31,7,17,36,8,2
1970-01-01,Friday,35,9,7,43,18,7,5
1970-01-01,Friday,16,6,15,40,43,1,2
1970-01-01,Friday,44,30,9,21,43,9,1
1970-01-01,Friday,26,36,1,16,30,9,3
1970-01-01,Friday,3,34,39,15,12,4,6
1970-01-01,Friday,41,7,48,27,8,6,1
1970-01-01,Friday,21,41,12,2,49,3,7
1970-01-01,Friday,49,34,25,3,5,8,5
1970-01-01,Friday,23,5,20,34,50,1,5
1970-01-01,Friday,8,50,16,4,14,9,3
1970-01-01,Friday,17,5,33,22,10,7,5
1970-01-01,Friday,46,1,22,20,37,1,9
1970-01-01,Friday,34,35,26,16,49,6,2
